m04.hsc_l1	m04.hsc_l2	m04.hsc_l3	m04.hsc_l4	m24.hsc_l1	m24.hsc_l2	m24.hsc_l3	m24.hsc_l4
0610005C13Rik	9	12	3	7	14	11	6	7
0610007C21Rik	1392	1438	1529	1623	1519	1517	2337	2392
0610007L01Rik	3319	3226	3826	3759	3259	3253	4199	3986
0610007N19Rik	79	62	42	57	137	149	181	158
0610007P08Rik	2780	2741	2898	2899	3040	3187	2557	2464
0610007P14Rik	1705	1791	1993	1924	1807	1860	2392	2470
0610007P22Rik	647	644	542	499	512	606	563	563
0610008F07Rik	0	0	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0	1	0
0610009B22Rik	382	392	373	454	367	415	504	534
0610009D07Rik	2639	2516	3054	3058	2473	2572	3689	3647
0610009L18Rik	191	213	152	173	170	196	200	226
0610009O20Rik	3229	3225	2893	2909	2713	2719	2484	2483
"0610010B08Rik,Gm4724"	0	0	0	1	0	0	0	0
"0610010B08Rik,Gm4724.1"	0	0	0	0	0	0	0	0
"0610010B08Rik,Gm4724.2"	0	0	1	0	0	0	0	0
0610010F05Rik	1638	1695	1927	1870	1680	1783	1639	1626
0610010K14Rik	1841	1809	1735	1703	1621	1565	1951	1992
0610010O12Rik	4	5	4	1	4	12	22	19
0610011F06Rik	767	776	630	625	700	757	840	789
0610011L14Rik	2056	2038	2065	2024	2014	1996	2871	2866
0610012G03Rik	840	853	748	758	719	655	815	823
0610012H03Rik	121	108	106	90	98	106	167	147
0610030E20Rik	5035	5136	4470	4600	5016	4922	4271	4123
0610031J06Rik	2536	2628	2489	2405	2634	2546	3331	3284
0610031O16Rik	0	0	0	0	0	0	0	0
0610037L13Rik	1181	1196	1129	1002	1094	1122	1084	1155
0610037P05Rik	2012	1965	2126	2177	1833	1862	2587	2665
0610038B21Rik	15	20	14	9	26	25	16	17
0610038L08Rik	15	10	11	7	7	6	7	9
0610039K10Rik	234	240	151	180	258	335	172	256
0610040B10Rik	35	33	19	22	28	35	36	34
0610040F04Rik	7	10	4	3	11	8	6	10
0610040J01Rik	29	32	35	35	53	27	41	45
0610043K17Rik	26	39	37	28	40	54	37	28
0910001L09Rik	1190	1227	1276	1257	1159	1121	1515	1576
"100042579,Gm10902,Gm17002"	6	3	0	4	2	1	7	2
1100001G20Rik	33	36	111	89	4	3	42	50
1110001A16Rik	484	470	487	482	472	551	586	614
1110001J03Rik	647	553	497	544	491	526	662	688
